title,skills,level,rating,platform,combined_features
Bid writing: Improve your bid writing success,Learn how to write a strong winning bid and earn CPD points,Intermediate,4.0,Udemy,Bid writing: Improve your bid writing success Learn how to write a strong winning bid and earn CPD points All Levels
The Complete Dart Language Guide for Google Flutter | Dart,Dart Programming Language with basic to advanced topics and projects. Learn Flutter Dart for Flutter App Development,Intermediate,4.6,Udemy,The Complete Dart Language Guide for Google Flutter | Dart Dart Programming Language with basic to advanced topics and projects. Learn Flutter Dart for Flutter App Development All Levels
Four Fundamentals of Financial Planning,"Liquidity, Retirement, Living Benefits and Death Benefits And How They Impact Your Success",Intermediate,3.8,Udemy,"Four Fundamentals of Financial Planning Liquidity, Retirement, Living Benefits and Death Benefits And How They Impact Your Success All Levels"
Ionic 3 Firebase - Become an iOS/Android rockstar developer!,Become a worldclass android/iOS developer by taking this course,Beginner,3.5,Udemy,Ionic 3 Firebase - Become an iOS/Android rockstar developer! Become a worldclass android/iOS developer by taking this course Beginner
From Excel to Power BI,"{"" Data Analysis"","" Data Model"","" Microsoft Excel"","" Power BI""}",Beginner,4.4,Coursera,"From Excel to Power BI {"" Data Analysis"","" Data Model"","" Microsoft Excel"","" Power BI""} Beginner "
Full Stack Java developer - Java + JSP + Spring Restful + JS,"Full Stack Java - Java, JSP Servlets JSTL, Hibernate, Spring, Java Web-service/RestFul  API, Spring boot, JavaScript",Intermediate,4.4,Udemy,"Full Stack Java developer - Java + JSP + Spring Restful + JS Full Stack Java - Java, JSP Servlets JSTL, Hibernate, Spring, Java Web-service/RestFul  API, Spring boot, JavaScript All Levels"
SAP HCM Success Factors - Introduction to Mastery,Get started with SAP HCM Success Factors.  Learn everything you need to know about Introduction to Mastery course,Intermediate,3.8,Udemy,SAP HCM Success Factors - Introduction to Mastery Get started with SAP HCM Success Factors.  Learn everything you need to know about Introduction to Mastery course All Levels
Automating Tasks with Python,Build scripts to automate various types of tasks using Python,Beginner,4.3,Udemy,Automating Tasks with Python Build scripts to automate various types of tasks using Python Beginner
Managing Modern Desktops Certification Exam MD101,Exam MD101,Advanced,4.1,Udemy,Managing Modern Desktops Certification Exam MD101 Exam MD101 Expert
CMA - USA Practice test kit 2023,There are 6 sections for practice & each Exam practice consist of 70 McQ's | CMA Part 1 & 2 - 420 Exam Questions Bank,,3.7,Udemy,CMA - USA Practice test kit 2023 There are 6 sections for practice & each Exam practice consist of 70 McQ's | CMA Part 1 & 2 - 420 Exam Questions Bank nan
Laravel 9 - Build Complete Inventory Management System A-Z,"In This Course, You Will Build Two Different Projects With Laravel 9 including Inventory Management System A-Z",Intermediate,4.7,Udemy,"Laravel 9 - Build Complete Inventory Management System A-Z In This Course, You Will Build Two Different Projects With Laravel 9 including Inventory Management System A-Z All Levels"
[2023] Machine Learning and Deep Learning Bootcamp in Python,"Machine Learning, Neural Networks, Computer Vision, Deep Learning and Reinforcement Learning in Keras and TensorFlow",Intermediate,4.4,Udemy,"[2023] Machine Learning and Deep Learning Bootcamp in Python Machine Learning, Neural Networks, Computer Vision, Deep Learning and Reinforcement Learning in Keras and TensorFlow All Levels"
Personal Finance #3–Financial Services & Bank Reconciliation,"Learn about financial services, financial institutions, and how to create a personal bank reconciliation from a CPA",Intermediate,4.3,Udemy,"Personal Finance #3–Financial Services & Bank Reconciliation Learn about financial services, financial institutions, and how to create a personal bank reconciliation from a CPA All Levels"
AWS Certified Solution Architect Associate 2023,Pass the AWS Certified Solutions Architect Certification. Complete AWS Certified Solutions Architect Associate Training,Intermediate,4.2,Udemy,AWS Certified Solution Architect Associate 2023 Pass the AWS Certified Solutions Architect Certification. Complete AWS Certified Solutions Architect Associate Training All Levels
Pick Stocks using Data Science part 1,Learn how to make immediate Dividends within 3 days of Investing in a Stock!,Beginner,4.4,Udemy,Pick Stocks using Data Science part 1 Learn how to make immediate Dividends within 3 days of Investing in a Stock! Beginner
Learn Ruby on Rails 7,Build five different web applications in the latest and  most powerful version of Rails yet!,Beginner,4.4,Udemy,Learn Ruby on Rails 7 Build five different web applications in the latest and  most powerful version of Rails yet! Beginner
Forex Trading: Candlestick Trading Mastery For Daily Profit,Technical Analysis For Forex Trading - Master Candlestick Trading Strategies & Become a Ninja Forex Trader in No Time!,Intermediate,4.1,Udemy,Forex Trading: Candlestick Trading Mastery For Daily Profit Technical Analysis For Forex Trading - Master Candlestick Trading Strategies & Become a Ninja Forex Trader in No Time! All Levels
Introduction to Cyber Security - 2 Hour Crash Course,"A quick, engaging intro to Cyber Security. Learn all the basics in only two hours! Concise, clear lectures make it easy!",Beginner,4.5,Udemy,"Introduction to Cyber Security - 2 Hour Crash Course A quick, engaging intro to Cyber Security. Learn all the basics in only two hours! Concise, clear lectures make it easy! Beginner"
Entrepreneurship : Quit Your Boring 9-to-5 Job & Do Business,Entrepreneurship Essentials: The Step-by-Step Walk-through Guide on How to Build a Successful Business From Scratch,Intermediate,3.8,Udemy,Entrepreneurship : Quit Your Boring 9-to-5 Job & Do Business Entrepreneurship Essentials: The Step-by-Step Walk-through Guide on How to Build a Successful Business From Scratch All Levels
Corporate Finance #16 Convertible Bonds & Warrants,"Learn about convertible bonds, warrants, and derivative securities from a certified public accountant (CPA)",Intermediate,4.3,Udemy,"Corporate Finance #16 Convertible Bonds & Warrants Learn about convertible bonds, warrants, and derivative securities from a certified public accountant (CPA) All Levels"
"Artificial Intelligence with Machine Learning, Deep Learning","Artificial Intelligence (AI) with Python Machine Learning and Python Deep Learning, Transfer Learning, Tensorflow",Intermediate,4.5,Udemy,"Artificial Intelligence with Machine Learning, Deep Learning Artificial Intelligence (AI) with Python Machine Learning and Python Deep Learning, Transfer Learning, Tensorflow All Levels"
The Complete Dart Language Guide for Beginners and Beyond,"Learn Dart Programming in depth. Includes: basic to advanced topics, exercises, and projects. Fully updated to Dart 2.15",Intermediate,4.6,Udemy,"The Complete Dart Language Guide for Beginners and Beyond Learn Dart Programming in depth. Includes: basic to advanced topics, exercises, and projects. Fully updated to Dart 2.15 All Levels"
Master How to Find Winning Products For Shopify Dropshipping,Find trending & evergreen winning products for Shopify & dropshipping through data backed consumer behavior research,Beginner,3.8,Udemy,Master How to Find Winning Products For Shopify Dropshipping Find trending & evergreen winning products for Shopify & dropshipping through data backed consumer behavior research Beginner
"Full Stack Web Development HTML, CSS, Bootstrap and React JS","Learn Web Development from scratch. HTML, CSS, Bootstrap, React JS and more! All in one in this course",Beginner,4.6,Udemy,"Full Stack Web Development HTML, CSS, Bootstrap and React JS Learn Web Development from scratch. HTML, CSS, Bootstrap, React JS and more! All in one in this course Beginner"
Advanced SAS Course by Solving Questions and Use Cases,"Comprehensive and advanced SAS course: learning knowledge and skills, solving questions and passing exams",Intermediate,3.7,Udemy,"Advanced SAS Course by Solving Questions and Use Cases Comprehensive and advanced SAS course: learning knowledge and skills, solving questions and passing exams All Levels"
"Interest Rate Swaps: Structure, Pricing & Risk Management",Interest Rate Swaps | Risk Management | Hedging | OTC Clearinghouses | Swap Valuation | Floating Interest Rates,Intermediate,4.4,Udemy,"Interest Rate Swaps: Structure, Pricing & Risk Management Interest Rate Swaps | Risk Management | Hedging | OTC Clearinghouses | Swap Valuation | Floating Interest Rates All Levels"
"NLP for Emotional Intelligence, Mental Fitness and Wellbeing","Learn how Neuro-Linguistic Programming (NLP) can advance your Self-Improvement, Mental Wellness, and Personal Growth.",Intermediate,4.7,Udemy,"NLP for Emotional Intelligence, Mental Fitness and Wellbeing Learn how Neuro-Linguistic Programming (NLP) can advance your Self-Improvement, Mental Wellness, and Personal Growth. All Levels"
Lean Six Sigma Programand Project Management,"Lean Six Sigma Yellow Belt, Change Management, Management, Lean Six Sigma, Process Improvement, Six Sigma Methodology, Lean Manufacturing, Customer Service, Project Management, Risk Management, Supply Chain",Beginner,0.0,edX,"Lean Six Sigma Programand Project Management Lean Six Sigma Yellow Belt, Change Management, Management, Lean Six Sigma, Process Improvement, Six Sigma Methodology, Lean Manufacturing, Customer Service, Project Management, Risk Management, Supply Chain Introductory"
Executive Diploma in General Management,"Management Types, Approaches and Tools, Managing Overview, Managing Decisions, Time Management and Project Management",Intermediate,4.2,Udemy,"Executive Diploma in General Management Management Types, Approaches and Tools, Managing Overview, Managing Decisions, Time Management and Project Management All Levels"
Quickstart Shell Scripting,"Get Started with Linux, Commands, Command Line, Raspberry Pi, Debian, Raspbian, and basic Python and Shell Scripting",Beginner,4.2,Udemy,"Quickstart Shell Scripting Get Started with Linux, Commands, Command Line, Raspberry Pi, Debian, Raspbian, and basic Python and Shell Scripting Beginner"
Getting Started with Google Drive,"Google Drive is a perfect tool for anyone looking to store, share, edit, and create documents online. ",Beginner,4.5,Udemy,"Getting Started with Google Drive Google Drive is a perfect tool for anyone looking to store, share, edit, and create documents online.  Beginner"
Scrum Master Certification 2023 + Agile Scrum Certification,Overview of Scrum Agile project management+common questions+tips to pass PSM scrum org ONLINE Scrum Master Certification,Intermediate,4.5,Udemy,Scrum Master Certification 2023 + Agile Scrum Certification Overview of Scrum Agile project management+common questions+tips to pass PSM scrum org ONLINE Scrum Master Certification All Levels
Android Java Masterclass - Become an App Developer,Improve your career options by learning Android app Development. Master Android Studio and build your first app today,Intermediate,4.4,Udemy,Android Java Masterclass - Become an App Developer Improve your career options by learning Android app Development. Master Android Studio and build your first app today All Levels
Salesforce Integration With External Systems,Learn about Salesforce integration API (SOAP | REST | Batch | Streaming | Outbound Messaging | Callouts) to connect,Intermediate,4.6,Udemy,Salesforce Integration With External Systems Learn about Salesforce integration API (SOAP | REST | Batch | Streaming | Outbound Messaging | Callouts) to connect Intermediate
Project Risk Management,"Practice of identifying , analyzing, prioritizing  and mitigating risks",Intermediate,4.4,Udemy,"Project Risk Management Practice of identifying , analyzing, prioritizing  and mitigating risks All Levels"
Copywriting: Basics For Beginners,Learn how to attract new leads and write compelling copy that gets your audience to take action.,Beginner,4.0,Udemy,Copywriting: Basics For Beginners Learn how to attract new leads and write compelling copy that gets your audience to take action. Beginner
Complete Splunk Enterprise Certified Admin Course 2023 (NEW),A Complete Lab Deployment with Data Onboarding and Custom Use cases:LEARN Splunk from a former Splunk Architect Employee,Intermediate,4.5,Udemy,Complete Splunk Enterprise Certified Admin Course 2023 (NEW) A Complete Lab Deployment with Data Onboarding and Custom Use cases:LEARN Splunk from a former Splunk Architect Employee All Levels
Complete Web Developer Course to Build Premium Web Templates,You will able to develop your own responsive website or premium web templates which  you can able to sell on ThemeForest,Intermediate,3.8,Udemy,Complete Web Developer Course to Build Premium Web Templates You will able to develop your own responsive website or premium web templates which  you can able to sell on ThemeForest All Levels
Mastering GitOps with Argo CD,Accelerate Your Continuous Delivery Pipeline through Modern GitOps Practices,Beginner,4.3,Udemy,Mastering GitOps with Argo CD Accelerate Your Continuous Delivery Pipeline through Modern GitOps Practices Beginner
The Ultimate Hands-on Kivymd |Tame your Python Kivy Skills,"Complete and Descriptive Academic course on GUI Development using Kivymd, kivy Python. Compete with PyQT using KivyMD.",Beginner,4.4,Udemy,"The Ultimate Hands-on Kivymd |Tame your Python Kivy Skills Complete and Descriptive Academic course on GUI Development using Kivymd, kivy Python. Compete with PyQT using KivyMD. Beginner"
"iOS, Swift & SwiftUI - Complete iOS App Development","Learn iOS App development using iOS, Swift, SwiftUI and UIKit",Intermediate,4.6,Udemy,"iOS, Swift & SwiftUI - Complete iOS App Development Learn iOS App development using iOS, Swift, SwiftUI and UIKit All Levels"
Learn C++ File Handling Full Course With (Console) Project,C++ File Handling Course With (Console)Project : Mini database: Student Database Management & Result Calculation system,Intermediate,4.9,Udemy,Learn C++ File Handling Full Course With (Console) Project C++ File Handling Course With (Console)Project : Mini database: Student Database Management & Result Calculation system Intermediate
"Build, Host & Manage WordPress Websites using AI [10Web]",Learn Web Design & Development by creating Responsive WordPress Websites using Elementor & 10Web AI Builder [No Code],Intermediate,4.5,Udemy,"Build, Host & Manage WordPress Websites using AI [10Web] Learn Web Design & Development by creating Responsive WordPress Websites using Elementor & 10Web AI Builder [No Code] All Levels"
Master Java Web Services and REST API with Spring Boot,Build Java Web Services & REST API - RESTful & SOAP - with Spring & Spring Boot. Learn REST API & SOAP Web Services Now!,Intermediate,4.6,Udemy,Master Java Web Services and REST API with Spring Boot Build Java Web Services & REST API - RESTful & SOAP - with Spring & Spring Boot. Learn REST API & SOAP Web Services Now! All Levels
Backend web development with Django 2 - Build 8 projects,"A course for beginners in back end, uses Django 2, python3 to make you a full stack developer",Intermediate,3.9,Udemy,"Backend web development with Django 2 - Build 8 projects A course for beginners in back end, uses Django 2, python3 to make you a full stack developer All Levels"
ChatGPT Masterclass - The Ultimate Guide,"All-in-One Guide to ChatGPT, Prompt Engineering, Midjourney & More | The Future of Work incl. Data Science & Programming",Intermediate,4.7,Udemy,"ChatGPT Masterclass - The Ultimate Guide All-in-One Guide to ChatGPT, Prompt Engineering, Midjourney & More | The Future of Work incl. Data Science & Programming All Levels"
CISSP EASY/MID questions #1 - ALL CISSP domains 250 Q - 2023,CISSP certification practice questions #1 - 2 FULL 125 question CISSP tests - 250 CISSP questions total - 2023 version,,4.6,Udemy,CISSP EASY/MID questions #1 - ALL CISSP domains 250 Q - 2023 CISSP certification practice questions #1 - 2 FULL 125 question CISSP tests - 250 CISSP questions total - 2023 version nan
Hacking with Swift 3 - Beginner to Pro - Build 22 iOS Apps,"Learn how to code in iOS 10,  and build amazing apps written by the award winning Swift programmer - Paul Hudson",Intermediate,4.7,Udemy,"Hacking with Swift 3 - Beginner to Pro - Build 22 iOS Apps Learn how to code in iOS 10,  and build amazing apps written by the award winning Swift programmer - Paul Hudson All Levels"
Mastering Excel 2019 - Advanced,Mastering Excel 2019 – Advanced,Advanced,4.3,Udemy,Mastering Excel 2019 - Advanced Mastering Excel 2019 – Advanced Expert
Natural Language Processing with Classification and Vector Spaces,"{"" Machine Learning"","" Natural Language Processing"","" Probability & Statistics"","" Python Programming"","" Machine Learning Algorithms"","" Applied Machine Learning"","" Computer Programming"","" Human Learning"","" Mathematics"","" Statistical Machine Learning""}",Intermediate,4.6,Coursera,"Natural Language Processing with Classification and Vector Spaces {"" Machine Learning"","" Natural Language Processing"","" Probability & Statistics"","" Python Programming"","" Machine Learning Algorithms"","" Applied Machine Learning"","" Computer Programming"","" Human Learning"","" Mathematics"","" Statistical Machine Learning""} Intermediate "
Introduction to Microsoft Word for Beginners to Intermediate,MS Word Office 365 Application,Beginner,3.7,Udemy,Introduction to Microsoft Word for Beginners to Intermediate MS Word Office 365 Application Beginner
Understanding basics of programming with C/C++,"Most cars, IoT devices or embedded devices have their software written in C/C++. Wonder why?",Beginner,4.7,Udemy,"Understanding basics of programming with C/C++ Most cars, IoT devices or embedded devices have their software written in C/C++. Wonder why? Beginner"
Oracle Database RAC Administration (12c and 19c),An extensive course that develops your skills to be professional on managing Oracle RAC databases (12c and 19c),Intermediate,4.5,Udemy,Oracle Database RAC Administration (12c and 19c) An extensive course that develops your skills to be professional on managing Oracle RAC databases (12c and 19c) All Levels
Start your own phone unlocking business - Unofficial,Learn how anyone can start his/her phone unlocking business,Intermediate,3.4,Udemy,Start your own phone unlocking business - Unofficial Learn how anyone can start his/her phone unlocking business All Levels
CIPS Level 4 Diploma - Ethical & Responsible Sourcing (L4M4),The comprehensive practice questions with in-depth answers and insights to master your CIPS exam,,4.3,Udemy,CIPS Level 4 Diploma - Ethical & Responsible Sourcing (L4M4) The comprehensive practice questions with in-depth answers and insights to master your CIPS exam nan
Introduction to Online Community Management,Learn the basics of Online Community Management and get a head-start to your new career.,Beginner,4.6,Udemy,Introduction to Online Community Management Learn the basics of Online Community Management and get a head-start to your new career. Beginner
Algorithmic Trading 2021: Learn Profitable Robot Trading,How To Create or Find Profitable Trading Strategies Fast Without Losing Money On Strategies That Don't Work,Intermediate,3.6,Udemy,Algorithmic Trading 2021: Learn Profitable Robot Trading How To Create or Find Profitable Trading Strategies Fast Without Losing Money On Strategies That Don't Work All Levels
Statistics & Probability for Data Science & Machine Learning,"Know each & every concept - Descriptive, Inferential Statistics & Probability become expert in Stats for Data Science",Intermediate,3.9,Udemy,"Statistics & Probability for Data Science & Machine Learning Know each & every concept - Descriptive, Inferential Statistics & Probability become expert in Stats for Data Science All Levels"
SwiftUI Animations iOS 16 - Animate anything with SwiftUI,"A course with fun to build projects, from easy to Intermediate to advanced that look at many ways to animate in SwiftUI",Intermediate,4.6,Udemy,"SwiftUI Animations iOS 16 - Animate anything with SwiftUI A course with fun to build projects, from easy to Intermediate to advanced that look at many ways to animate in SwiftUI All Levels"
Kubernetes with HELM: Kubernetes for Absolute Beginners 2023,Certified Kubernetes Administrator (CKA) | GKE & CKA Deep Dive | Production grade K8s with HELM from Scratch,Intermediate,4.6,Udemy,Kubernetes with HELM: Kubernetes for Absolute Beginners 2023 Certified Kubernetes Administrator (CKA) | GKE & CKA Deep Dive | Production grade K8s with HELM from Scratch All Levels
Finance for Start Up Entrepreneurs and Investors,Assess how much funding would your venture need over next 2-3 years at what equity % dilution to investors,Intermediate,4.9,Udemy,Finance for Start Up Entrepreneurs and Investors Assess how much funding would your venture need over next 2-3 years at what equity % dilution to investors All Levels
Full-Stack Web Development with React and MongoDB,"Learn all in one course: React JS with BootStrap, MongoDB, NodeJS, ExpressJS, Swagger, OpenAPI",Intermediate,2.7,Udemy,"Full-Stack Web Development with React and MongoDB Learn all in one course: React JS with BootStrap, MongoDB, NodeJS, ExpressJS, Swagger, OpenAPI All Levels"
JavaScript for beginners,Build the real world interactive JavaScript Apps from scratch 2023,Beginner,4.6,Udemy,JavaScript for beginners Build the real world interactive JavaScript Apps from scratch 2023 Beginner
30 CSS Exercises,Boost your CSS skills,Beginner,4.6,Udemy,30 CSS Exercises Boost your CSS skills Beginner
Xero Online Bookkeeping Software,"Learn how to use  Xero, the leading online accounting software to perform several essential bookkeeping tasks.",Intermediate,3.0,Udemy,"Xero Online Bookkeeping Software Learn how to use  Xero, the leading online accounting software to perform several essential bookkeeping tasks. All Levels"
Understand Financial Reports in 2 Hours,"For business owners, managers and students who wants to quickly make sense of financial reports and accounting jargon",Beginner,5.0,Udemy,"Understand Financial Reports in 2 Hours For business owners, managers and students who wants to quickly make sense of financial reports and accounting jargon Beginner"
The Ultimate Guide to Unity Designpatterns,Improve your Coding Skills in the Unity3D Engine beyond beginner Level with Designpatterns for Unity.,Intermediate,4.4,Udemy,The Ultimate Guide to Unity Designpatterns Improve your Coding Skills in the Unity3D Engine beyond beginner Level with Designpatterns for Unity. Intermediate
Financial Modelling and Valuation,100% Practical Course to Learn financial models from the scratch,Intermediate,4.4,Udemy,Financial Modelling and Valuation 100% Practical Course to Learn financial models from the scratch All Levels
Secure User Authentication | Android + Ktor Server + MongoDB,Securely Authenticate and Store your Users Info on the Back-end Server using a modern One-Tap Sign in with Google.,Intermediate,4.7,Udemy,Secure User Authentication | Android + Ktor Server + MongoDB Securely Authenticate and Store your Users Info on the Back-end Server using a modern One-Tap Sign in with Google. Intermediate
Complete Blender 3x Interior 3D Modelling & Rendering,"Learn 3D Modelling, 3D Lighting & 3D Rendering: Create Photo Realistic Interior Scenes & Detailed 3D Models in Blender 3",Intermediate,4.6,Udemy,"Complete Blender 3x Interior 3D Modelling & Rendering Learn 3D Modelling, 3D Lighting & 3D Rendering: Create Photo Realistic Interior Scenes & Detailed 3D Models in Blender 3 All Levels"
Fully Accredited Professional PTSD Counselling Diploma,Full Diploma Course To Help Your Clients With This In Depth Specialised Counselling in Post Traumatic Stress Disorder,Intermediate,4.7,Udemy,Fully Accredited Professional PTSD Counselling Diploma Full Diploma Course To Help Your Clients With This In Depth Specialised Counselling in Post Traumatic Stress Disorder All Levels
ReactJS and Flux: Learn By Building 10 Projects,Get the real world experience by building professional projects in React and Flux,Intermediate,3.4,Udemy,ReactJS and Flux: Learn By Building 10 Projects Get the real world experience by building professional projects in React and Flux All Levels
ETABS: For Structural Design of Buildings,Structural Analysis and Structural Design of Residential Building in ETABS  with Real World Project.,Intermediate,4.4,Udemy,ETABS: For Structural Design of Buildings Structural Analysis and Structural Design of Residential Building in ETABS  with Real World Project. All Levels
Life Coaching: Create Your Signature Life Coaching Package,"Sell results, not your time! Package your GIFT, get MORE life coaching clients, COMMITTED clients & PREDICTABLE income.",Intermediate,4.8,Udemy,"Life Coaching: Create Your Signature Life Coaching Package Sell results, not your time! Package your GIFT, get MORE life coaching clients, COMMITTED clients & PREDICTABLE income. All Levels"
Data Analysis with Python for Working Professionals,A step-by-step guide to learn the essential tenets of Data Analytics by using Python as a tool,Beginner,4.4,Udemy,Data Analysis with Python for Working Professionals A step-by-step guide to learn the essential tenets of Data Analytics by using Python as a tool Beginner
How To Be The Greatest Salesman: Learn Sales & Selling Skill,Salesperson | Sales Representative | Sales Associate | Sales Agent | Business Development Manager | Sales Executive,Intermediate,4.4,Udemy,How To Be The Greatest Salesman: Learn Sales & Selling Skill Salesperson | Sales Representative | Sales Associate | Sales Agent | Business Development Manager | Sales Executive All Levels
Mastering Crystal Reports 2011 Made Easy Training Tutorial,Learn Introductory through Advanced material with our complete Crystal Reports course. Video lessons & manuals included,Intermediate,4.0,Udemy,Mastering Crystal Reports 2011 Made Easy Training Tutorial Learn Introductory through Advanced material with our complete Crystal Reports course. Video lessons & manuals included All Levels
"iOS 10 Swift 3 hands on features - Siri Kit , Messages , ...","Build real useful app using the latest iOS 10 and Swift 3 features - Hands on projects, all source codes included.",Intermediate,2.7,Udemy,"iOS 10 Swift 3 hands on features - Siri Kit , Messages , ... Build real useful app using the latest iOS 10 and Swift 3 features - Hands on projects, all source codes included. Intermediate"
iMovie - Video editing for beginners on Mac OS.,"Get the basics of iMovie first, then become an imovie master. The complete iMovie course designed for beginners.",Intermediate,4.4,Udemy,"iMovie - Video editing for beginners on Mac OS. Get the basics of iMovie first, then become an imovie master. The complete iMovie course designed for beginners. All Levels"
IBM Front-End Developer,"{"" Software Engineering"","" Cloud Applications"","" Application Development"","" Computer Programming"","" Software Engineering Tools"","" Cloud Computing"","" IBM Cloud"","" Programming Principles"","" Web Development"","" Agile Software Development"","" Cloud API"","" Cloud Infrastructure"","" Cloud Management"","" Cloud Platforms"","" Communication"","" DevOps"","" Software Architecture"","" Continuous Integration"","" Software As A Service"","" Web Development Tools"","" Continuous Delivery"","" Front-End Web Development"","" Leadership and Management"","" Product Management"","" Software-Defined Networking"","" Collaboration"","" Javascript"","" NoSQL"","" Mergers & Acquisitions"","" Python Programming"","" React (web framework)"","" Strategy""}",Beginner,4.6,Coursera,"IBM Front-End Developer {"" Software Engineering"","" Cloud Applications"","" Application Development"","" Computer Programming"","" Software Engineering Tools"","" Cloud Computing"","" IBM Cloud"","" Programming Principles"","" Web Development"","" Agile Software Development"","" Cloud API"","" Cloud Infrastructure"","" Cloud Management"","" Cloud Platforms"","" Communication"","" DevOps"","" Software Architecture"","" Continuous Integration"","" Software As A Service"","" Web Development Tools"","" Continuous Delivery"","" Front-End Web Development"","" Leadership and Management"","" Product Management"","" Software-Defined Networking"","" Collaboration"","" Javascript"","" NoSQL"","" Mergers & Acquisitions"","" Python Programming"","" React (web framework)"","" Strategy""} Beginner "
Introduction to Marketing,"Marketing, Branding, Creative Thinking, Communications, Value Propositions, Digital Marketing",Beginner,0.0,edX,"Introduction to Marketing Marketing, Branding, Creative Thinking, Communications, Value Propositions, Digital Marketing Introductory"
SAP: A Guide for Beginners and End Users,Introduction to SAP ERP software and user training. by Jay Dhruv,Intermediate,3.6,Udemy,SAP: A Guide for Beginners and End Users Introduction to SAP ERP software and user training. by Jay Dhruv All Levels
Variable Frequency Drives - Wire-Setup-Troubleshoot VFDs,"Wire, Setup, Maintain and Troubleshoot Modern VFD & Motor Systems Online Course",Intermediate,4.6,Udemy,"Variable Frequency Drives - Wire-Setup-Troubleshoot VFDs Wire, Setup, Maintain and Troubleshoot Modern VFD & Motor Systems Online Course All Levels"
Fundamentos de logística,"Outsourcing, Consolidation, Operations, Strategic Thinking",Beginner,0.0,edX,"Fundamentos de logística Outsourcing, Consolidation, Operations, Strategic Thinking Introductory"
Build a WooCommerce eCommerce T-Shirt Store with WordPress,eCommerce Integrate WooCommerce with Printful and start selling your own custom designed t-shirts using WordPress.,Intermediate,4.3,Udemy,Build a WooCommerce eCommerce T-Shirt Store with WordPress eCommerce Integrate WooCommerce with Printful and start selling your own custom designed t-shirts using WordPress. All Levels
CompTIA Project+ Exam Prep,How to pass the CompTIA Project+ Exam,Intermediate,4.4,Udemy,CompTIA Project+ Exam Prep How to pass the CompTIA Project+ Exam All Levels
"Call/Contact Center Management, The essential Guide",What you need to know about Managing a Call/Contact Center,Intermediate,4.5,Udemy,"Call/Contact Center Management, The essential Guide What you need to know about Managing a Call/Contact Center All Levels"
Learn Figma: User Interface Design Essentials - UI/UX Design,"Master Figma app to get a job in UI Design, User Interface, User Experience design, Web Design & UX design.",Intermediate,4.6,Udemy,"Learn Figma: User Interface Design Essentials - UI/UX Design Master Figma app to get a job in UI Design, User Interface, User Experience design, Web Design & UX design. All Levels"
The Complete DJ Course For Beginners 2023 | 2 Be A DJ,Includes 20 FREE music tracks and 30 guided mix tutorials - You can mix along in real time with the exact same tracks,Beginner,4.8,Udemy,The Complete DJ Course For Beginners 2023 | 2 Be A DJ Includes 20 FREE music tracks and 30 guided mix tutorials - You can mix along in real time with the exact same tracks Beginner
"Supply Chain: How to make planning (MPS, RCCP, MRP, DRP)","Master Production Scheduling,Machine Capacity Planning, Material Requirement Planning, Distribution Requirement Planning",Intermediate,4.3,Udemy,"Supply Chain: How to make planning (MPS, RCCP, MRP, DRP) Master Production Scheduling,Machine Capacity Planning, Material Requirement Planning, Distribution Requirement Planning All Levels"
AI-Powered Credit Solutions: Craft Letters Like a Pro,Introduction to AI for Credit: Understanding the Potential of ChatGPT | Credit Repair  With Ease : The Road To 800,Intermediate,4.8,Udemy,AI-Powered Credit Solutions: Craft Letters Like a Pro Introduction to AI for Credit: Understanding the Potential of ChatGPT | Credit Repair  With Ease : The Road To 800 All Levels
Hardware Asset Management in ServiceNow,The perfect course for managing Hardware Assets in ServiceNow! Unlock the full benefits of IT Asset Management (ITAM)!,Intermediate,4.6,Udemy,Hardware Asset Management in ServiceNow The perfect course for managing Hardware Assets in ServiceNow! Unlock the full benefits of IT Asset Management (ITAM)! Intermediate
AWS 3 in 1  Certification Course Bundle,"AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified DevOps Engineer. 23 Hours of learning",Intermediate,4.3,Udemy,"AWS 3 in 1  Certification Course Bundle AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified DevOps Engineer. 23 Hours of learning All Levels"
Windows 10 Services Administration and Troubleshooting,"Learn how to identify, start, stop, restart and manage key services on Windows 10 as well as their relevant cmd commands",Beginner,4.2,Udemy,"Windows 10 Services Administration and Troubleshooting Learn how to identify, start, stop, restart and manage key services on Windows 10 as well as their relevant cmd commands Beginner"
HIGH PROBABILITY DAY TRADING STRATEGIES USING CPR WITH PIVOT,"Learn High Probability Trading Strategies for Stocks, Nifty and Bank Nifty",Intermediate,3.6,Udemy,"HIGH PROBABILITY DAY TRADING STRATEGIES USING CPR WITH PIVOT Learn High Probability Trading Strategies for Stocks, Nifty and Bank Nifty All Levels"
Google UX Design,"{"" User Experience"","" User Experience Design"","" User Research"","" Audit"","" Collaboration"","" Human Computer Interaction"","" Planning"","" Product Design"","" Product Development"","" Social Media"","" Web Design"","" Web Development Tools""}",Beginner,4.8,Coursera,"Google UX Design {"" User Experience"","" User Experience Design"","" User Research"","" Audit"","" Collaboration"","" Human Computer Interaction"","" Planning"","" Product Design"","" Product Development"","" Social Media"","" Web Design"","" Web Development Tools""} Beginner "
Hands-on Concurrency with Go,Build better software faster with concurrency in Go,Beginner,4.4,Udemy,Hands-on Concurrency with Go Build better software faster with concurrency in Go Beginner
